"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-04-11,119,"Lifeline",7,5.88235294117647,2.39745597309761,11.7446304852428,"Oregon","Baseline"
2018-04-12,152,"Breaking the silence",0,0,0,2.39768209037916,"Oregon","Baseline"
2018-04-12,152,"Lifeline",29,19.0789473684211,13.1654767091458,26.2373980114163,"Oregon","Baseline"
2018-04-13,147,"Breaking the silence",0,0,0,2.47821704895808,"Oregon","Baseline"
2018-04-13,147,"Lifeline",5,3.40136054421769,1.1134679977026,7.75893351318683,"Oregon","Baseline"
2018-04-14,163,"Breaking the silence",0,0,0,2.23769984930192,"Oregon","Baseline"
2018-04-14,163,"Lifeline",8,4.9079754601227,2.14243793137922,9.44141983670169,"Oregon","Baseline"
2018-04-15,146,"Breaking the silence",0,0,0,2.49497761119478,"Oregon","Baseline"
2018-04-15,146,"Lifeline",4,2.73972602739726,0.751422192148836,6.86605217162877,"Oregon","Baseline"
2018-04-16,155,"Breaking the silence",0,0,0,2.35182541485328,"Oregon","Baseline"
2018-04-16,155,"Lifeline",8,5.16129032258065,2.25431986880418,9.91633383446811,"Oregon","Baseline"
2018-04-17,149,"Breaking the silence",0,0,0,2.445362490559,"Oregon","Baseline"
2018-04-17,149,"Lifeline",3,2.01342281879195,0.41715652502261,5.77115504660366,"Oregon","Baseline"
2018-04-18,122,"Breaking the silence",0,0,0,2.97841600614287,"Oregon","Baseline"
2018-04-18,122,"Lifeline",4,3.27868852459016,0.900421717515311,8.18207264337929,"Oregon","Baseline"
2018-04-19,125,"Breaking the silence",0,0,0,2.90798371364315,"Oregon","Baseline"
2018-04-19,125,"Lifeline",22,17.6,11.3709035494215,25.4251579804866,"Oregon","Baseline"
2018-04-20,164,"Breaking the silence",0,0,0,2.22420822038015,"Oregon","Baseline"
2018-04-20,164,"Lifeline",10,6.09756097560976,2.96244681282529,10.9275940247079,"Oregon","Baseline"
2018-04-21,166,"Breaking the silence",0,0,0,2.19770719284961,"Oregon","Baseline"
2018-04-21,166,"Lifeline",22,13.2530120481928,8.49554514504654,19.3751812649187,"Oregon","Baseline"
2018-04-22,245,"Breaking the silence",0,0,0,1.49438662282921,"Oregon","Baseline"
2018-04-22,245,"Lifeline",43,17.5510204081633,13.0025412068469,22.9037792108451,"Oregon","Baseline"
2018-04-23,236,"Breaking the silence",0,0,0,1.55093175017574,"Oregon","Baseline"
2018-04-23,236,"Lifeline",49,20.7627118644068,15.7729293901992,26.5029433550652,"Oregon","Baseline"
2018-04-24,349,"Breaking the silence",0,0,0,1.05141905451955,"Oregon","Baseline"
2018-04-24,349,"Lifeline",42,12.0343839541547,8.81255345183212,15.9172941463433,"Oregon","Baseline"
2018-04-25,428,"Breaking the silence",0,0,0,0.858184118630645,"Oregon","Baseline"
2018-04-25,428,"Lifeline",84,19.6261682242991,15.9677041411839,23.7105936486356,"Oregon","Baseline"
2018-04-26,307,"Breaking the silence",0,0,0,1.19439914125644,"Oregon","Baseline"
2018-04-26,307,"Lifeline",40,13.0293159609121,9.47400439680093,17.3171462006314,"Oregon","Baseline"
2018-04-27,309,"Breaking the silence",0,0,0,1.18671445650658,"Oregon","Baseline"
2018-04-27,309,"Lifeline",22,7.11974110032362,4.51540398249338,10.5811687529044,"Oregon","Baseline"
2018-04-28,186,"Breaking the silence",0,0,0,1.96373112639771,"Oregon","Baseline"
2018-04-28,186,"Lifeline",9,4.83870967741935,2.23613472307202,8.98640165817388,"Oregon","Baseline"
2018-04-29,170,"Breaking the silence",0,0,0,2.14655549809446,"Oregon","Baseline"
2018-04-29,170,"Lifeline",17,10,5.93402602956002,15.527868088096,"Oregon","Baseline"
2018-04-30,257,"Breaking the silence",0,0,0,1.42510945057822,"Oregon","Baseline"
2018-04-30,257,"Lifeline",22,8.56031128404669,5.44247835470114,12.6735821978956,"Oregon","Baseline"
2018-05-01,233,"Breaking the silence",0,0,0,1.57074317464687,"Oregon","Baseline"
2018-05-01,233,"Lifeline",31,13.3047210300429,9.22211192653701,18.3505461525444,"Oregon","Baseline"
2018-05-02,154,"Breaking the silence",0,0,0,2.36691483725427,"Oregon","Baseline"
2018-05-02,154,"Lifeline",7,4.54545454545455,1.84677190557904,9.14093787840002,"Oregon","Baseline"
2018-05-03,143,"Breaking the silence",0,0,0,2.54664764133473,"Oregon","Baseline"
2018-05-03,143,"Lifeline",16,11.1888111888112,6.53225385872767,17.5334264953467,"Oregon","Baseline"
2018-05-04,110,"Breaking the silence",0,0,0,3.29791940322197,"Oregon","Baseline"
2018-05-04,110,"Lifeline",7,6.36363636363636,2.59656143536238,12.6725926548148,"Oregon","Baseline"
2018-05-05,101,"Breaking the silence",0,0,0,3.58646203900037,"Oregon","Baseline"
2018-05-05,101,"Lifeline",4,3.96039603960396,1.08944837168103,9.83050186200594,"Oregon","Baseline"
2018-05-06,149,"Breaking the silence",0,0,0,2.445362490559,"Oregon","Baseline"
2018-05-06,149,"Lifeline",9,6.04026845637584,2.79890777520833,11.1564846990591,"Oregon","Baseline"
2018-05-07,100,"Breaking the silence",0,0,0,3.62166926451765,"Oregon","Baseline"
2018-05-07,100,"Lifeline",5,5,1.64318791820522,11.2834911105463,"Oregon","Baseline"
2018-05-08,143,"Breaking the silence",0,0,0,2.54664764133473,"Oregon","Baseline"
2018-05-08,143,"Lifeline",2,1.3986013986014,0.169828182787868,4.96077097254144,"Oregon","Baseline"
2018-05-09,181,"Breaking the silence",0,0,0,2.01742698129501,"Oregon","Baseline"
2018-05-09,181,"Lifeline",8,4.41988950276243,1.92723210322351,8.52294305679923,"Oregon","Baseline"
2018-05-10,214,"Breaking the silence",0,0,0,1.7090034374466,"Oregon","Baseline"
2018-05-10,214,"Lifeline",3,1.4018691588785,0.29003743623391,4.04197483900649,"Oregon","Baseline"
2018-05-11,292,"Breaking the silence",0,0,0,1.25536855666267,"Oregon","Baseline"
2018-05-11,292,"Lifeline",15,5.13698630136986,2.90328650839872,8.33122622337063,"Oregon","Baseline"
2018-05-12,136,"Breaking the silence",0,0,0,2.67595583791432,"Oregon","Baseline"
2018-05-12,136,"Lifeline",13,9.55882352941176,5.1884346245169,15.7911471505167,"Oregon","Baseline"
2018-05-13,208,"Breaking the silence",0,0,0,1.75786579006307,"Oregon","Baseline"
2018-05-13,208,"Lifeline",7,3.36538461538462,1.36356640595526,6.81077232383867,"Oregon","Baseline"
2018-05-14,330,"Breaking the silence",0,0,0,1.11161761772373,"Oregon","Baseline"
2018-05-14,330,"Lifeline",3,0.909090909090909,0.187870209211766,2.6336222461718,"Oregon","Baseline"
2018-05-15,161,"Breaking the silence",0,0,0,2.26518014136423,"Oregon","Baseline"
2018-05-15,161,"Lifeline",2,1.24223602484472,0.150796187339616,4.41515923196379,"Oregon","Baseline"
2018-05-16,281,"Breaking the silence",0,0,0,1.30418926629107,"Oregon","Baseline"
2018-05-16,281,"Lifeline",3,1.06761565836299,0.220711487561171,3.08815104312373,"Oregon","Baseline"
2018-05-17,240,"Breaking the silence",0,0,0,1.52528104012787,"Oregon","Baseline"
2018-05-17,240,"Lifeline",4,1.66666666666667,0.45593019750383,4.21211225845269,"Oregon","Baseline"
2018-05-18,215,"Breaking the silence",0,0,0,1.70112258169104,"Oregon","Baseline"
2018-05-18,215,"Lifeline",4,1.86046511627907,0.509183354355679,4.69476499885456,"Oregon","Baseline"
2018-05-19,151,"Breaking the silence",0,0,0,2.41336761902258,"Oregon","Baseline"
2018-05-19,151,"Lifeline",7,4.63576158940397,1.88386071634047,9.3180239481075,"Oregon","Baseline"
2018-05-20,229,"Breaking the silence",0,0,0,1.59795935713576,"Oregon","Baseline"
2018-05-20,229,"Lifeline",2,0.873362445414847,0.105943798413983,3.11909998607441,"Oregon","Baseline"
2018-05-21,260,"Breaking the silence",0,0,0,1.40878225802522,"Oregon","Baseline"
2018-05-21,260,"Lifeline",3,1.15384615384615,0.238585846546534,3.33480959518264,"Oregon","Baseline"
2018-05-22,167,"Breaking the silence",0,0,0,2.18469208306118,"Oregon","Baseline"
