"date","tot_n","weekday","keywords","keywords_n","pr","bl","prlow","prhigh","state","period"
2018-02-28,271720,"Wednesday","Campaign",0,0,0,0,0.00135759399898948,"Oregon","Baseline"
2018-02-28,271720,"Wednesday","Prevention",6,0.00220815545414397,0.00336388734341282,0.00081035830666758,0.00480616236421471,"Oregon","Baseline"
2018-03-01,265490,"Thursday","Campaign",0,0,0,0,0.00138945113807142,"Oregon","Baseline"
2018-03-01,265490,"Thursday","Prevention",12,0.00451994425402087,0.00298992690005255,0.00233554226355528,0.00789529973651965,"Oregon","Baseline"
2018-03-02,263165,"Friday","Campaign",0,0,0,0,0.00140172652140395,"Oregon","Baseline"
2018-03-02,263165,"Friday","Prevention",9,0.00341990766249311,0.00344542217630394,0.00156381109634159,0.00649195030391791,"Oregon","Baseline"
2018-03-03,227552,"Saturday","Campaign",0,0,0,0,0.00162110179378236,"Oregon","Baseline"
2018-03-03,227552,"Saturday","Prevention",14,0.00615243988187315,0.00321724002920507,0.00336363564747677,0.0103225334546694,"Oregon","Baseline"
2018-03-04,215459,"Sunday","Campaign",0,0,0,0,0.00171208808895936,"Oregon","Baseline"
2018-03-04,215459,"Sunday","Prevention",12,0.00556950510305905,0.00391136913000111,0.00287787661236383,0.00972860224964121,"Oregon","Baseline"
2018-03-05,247829,"Monday","Campaign",0,0,0,0,0.00148846664441035,"Oregon","Baseline"
2018-03-05,247829,"Monday","Prevention",6,0.00242102417392638,0.00307072257940697,0.000888478218378454,0.0052694753325862,"Oregon","Baseline"
2018-03-06,254173,"Tuesday","Campaign",0,0,0,0,0.00145131571229266,"Oregon","Baseline"
2018-03-06,254173,"Tuesday","Prevention",24,0.00944238766509425,0.00413016349954924,0.00605000666772712,0.0140492007339744,"Oregon","Baseline"
2018-03-07,256974,"Wednesday","Campaign",0,0,0,0,0.00143549657832365,"Oregon","Baseline"
2018-03-07,256974,"Wednesday","Prevention",84,0.0326881318732634,0.00336388734341282,0.0260741458688351,0.0404685567427909,"Oregon","Baseline"
2018-03-08,266350,"Thursday","Campaign",0,0,0,0,0.00138496486172812,"Oregon","Baseline"
2018-03-08,266350,"Thursday","Prevention",31,0.0116388211000563,0.00298992690005255,0.0079081469358227,0.0165199742816697,"Oregon","Baseline"
2018-03-09,249607,"Friday","Campaign",0,0,0,0,0.00147786408062858,"Oregon","Baseline"
2018-03-09,249607,"Friday","Prevention",9,0.00360566811026934,0.00344542217630394,0.00164875388974046,0.00684457036966362,"Oregon","Baseline"
2018-03-10,220130,"Saturday","Campaign",0,0,0,0,0.0016757591176399,"Oregon","Baseline"
2018-03-10,220130,"Saturday","Prevention",12,0.00545132421750784,0.00321724002920507,0.00281680947838367,0.00952217252128519,"Oregon","Baseline"
2018-03-11,207284,"Sunday","Campaign",0,0,0,0,0.00177960992174224,"Oregon","Baseline"
2018-03-11,207284,"Sunday","Prevention",11,0.00530672893228614,0.00391136913000111,0.00264912877517378,0.00949500507775666,"Oregon","Baseline"
2018-03-12,229744,"Monday","Campaign",0,0,0,0,0.00160563489756719,"Oregon","Baseline"
2018-03-12,229744,"Monday","Prevention",16,0.00696427327808343,0.00307072257940697,0.00398073463666496,0.0113092977752793,"Oregon","Baseline"
2018-03-13,264831,"Tuesday","Campaign",0,0,0,0,0.0013929085955552,"Oregon","Baseline"
2018-03-13,264831,"Tuesday","Prevention",14,0.00528639018845981,0.00413016349954924,0.0028901478798809,0.00886950556125015,"Oregon","Baseline"
2018-03-14,284955,"Wednesday","Campaign",0,0,0,0,0.00129453969119969,"Oregon","Baseline"
2018-03-14,284955,"Wednesday","Prevention",19,0.00666771946447685,0.00336388734341282,0.0040144488973023,0.010412274927666,"Oregon","Baseline"
2018-03-15,261146,"Thursday","Campaign",0,0,0,0,0.00141256362347804,"Oregon","Baseline"
2018-03-15,261146,"Thursday","Prevention",4,0.00153171023105849,0.00298992690005255,0.000417341012125209,0.00392173967246977,"Oregon","Baseline"
2018-03-16,252257,"Friday","Campaign",0,0,0,0,0.00146233899637544,"Oregon","Baseline"
2018-03-16,252257,"Friday","Prevention",10,0.00396421110216961,0.00344542217630394,0.00190100915394114,0.00729020411742441,"Oregon","Baseline"
2018-03-17,248868,"Saturday","Campaign",0,0,0,0,0.00148225248516993,"Oregon","Baseline"
2018-03-17,248868,"Saturday","Prevention",5,0.00200909719208576,0.00321724002920507,0.00065235150431438,0.00468849982944726,"Oregon","Baseline"
2018-03-18,223696,"Sunday","Campaign",0,0,0,0,0.00164904559687175,"Oregon","Baseline"
2018-03-18,223696,"Sunday","Prevention",4,0.00178814104856591,0.00391136913000111,0.00048721033314292,0.00457828740578044,"Oregon","Baseline"
2018-03-19,244686,"Monday","Campaign",0,0,0,0,0.00150758590500916,"Oregon","Baseline"
2018-03-19,244686,"Monday","Prevention",4,0.00163474820790728,0.00307072257940697,0.000445415605166308,0.00418555129918491,"Oregon","Baseline"
2018-03-20,251881,"Tuesday","Campaign",0,0,0,0,0.0014645219138498,"Oregon","Baseline"
2018-03-20,251881,"Tuesday","Prevention",3,0.00119103862538262,0.00413016349954924,0.000245621471773566,0.00348068043993876,"Oregon","Baseline"
2018-03-21,254320,"Wednesday","Campaign",0,0,0,0,0.00145047684054663,"Oregon","Baseline"
2018-03-21,254320,"Wednesday","Prevention",9,0.00353884869455804,0.00336388734341282,0.00161819932686816,0.00671773037516802,"Oregon","Baseline"
2018-03-22,246023,"Thursday","Campaign",0,0,0,0,0.00149939306432467,"Oregon","Baseline"
2018-03-22,246023,"Thursday","Prevention",2,0.000812932124232287,0.00298992690005255,0.000098450003278954,0.0029365591649131,"Oregon","Baseline"
2018-03-23,252787,"Friday","Campaign",0,0,0,0,0.00145927303960916,"Oregon","Baseline"
2018-03-23,252787,"Friday","Prevention",15,0.00593384944637185,0.00344542217630394,0.00332116730812228,0.00978679371734851,"Oregon","Baseline"
2018-03-24,247411,"Saturday","Campaign",0,0,0,0,0.00149098138473739,"Oregon","Baseline"
2018-03-24,247411,"Saturday","Prevention",9,0.00363767172841951,0.00321724002920507,0.00166338821063443,0.00690532122934916,"Oregon","Baseline"
2018-03-25,216849,"Sunday","Campaign",0,0,0,0,0.00170111371415493,"Oregon","Baseline"
2018-03-25,216849,"Sunday","Prevention",9,0.00415035347177068,0.00391136913000111,0.00189782289027659,0.00787851683203873,"Oregon","Baseline"
2018-03-26,233128,"Monday","Campaign",0,0,0,0,0.00158232827843313,"Oregon","Baseline"
2018-03-26,233128,"Monday","Prevention",8,0.00343159122885282,0.00307072257940697,0.00148152879348034,0.00676149015263764,"Oregon","Baseline"
2018-03-27,238157,"Tuesday","Campaign",0,0,0,0,0.00154891558309259,"Oregon","Baseline"
2018-03-27,238157,"Tuesday","Prevention",30,0.0125967324076135,0.00413016349954924,0.00849911875594378,0.0179821345070384,"Oregon","Baseline"
2018-03-28,240848,"Wednesday","Campaign",0,0,0,0,0.00153160964775502,"Oregon","Baseline"
2018-03-28,240848,"Wednesday","Prevention",2,0.000830399255962267,0.00336388734341282,0.000100565360551881,0.00299965509615765,"Oregon","Baseline"
2018-03-29,239624,"Thursday","Campaign",0,0,0,0,0.0015394330535031,"Oregon","Baseline"
2018-03-29,239624,"Thursday","Prevention",3,0.00125196140620305,0.00298992690005255,0.00025818528448405,0.00365871847765013,"Oregon","Baseline"
2018-03-30,237486,"Friday","Campaign",0,0,0,0,0.0015532919012097,"Oregon","Baseline"
2018-03-30,237486,"Friday","Prevention",3,0.00126323235896011,0.00344542217630394,0.000260509639366367,0.00369165618818269,"Oregon","Baseline"
2018-03-31,215714,"Saturday","Campaign",0,0,0,0,0.00171006421137263,"Oregon","Baseline"
2018-03-31,215714,"Saturday","Prevention",4,0.00185430709179747,0.00321724002920507,0.000505238509790601,0.0047476939411962,"Oregon","Baseline"
2018-04-01,211003,"Sunday","Campaign",0,0,0,0,0.00174824396274641,"Oregon","Baseline"
2018-04-01,211003,"Sunday","Prevention",2,0.000947853821983574,0.00391136913000111,0.00011478970132061,0.00342393151865424,"Oregon","Baseline"
2018-04-02,225504,"Monday","Campaign",0,0,0,0,0.00163582432339914,"Oregon","Baseline"
2018-04-02,225504,"Monday","Prevention",7,0.00310415779764439,0.00307072257940697,0.00124804124568278,0.00639564619461137,"Oregon","Baseline"
2018-04-03,246241,"Tuesday","Campaign",0,0,0,0,0.00149806564427819,"Oregon","Baseline"
2018-04-03,246241,"Tuesday","Prevention",14,0.00568548698226534,0.00413016349954924,0.00310834238177592,0.00953909726684522,"Oregon","Baseline"
2018-04-04,247551,"Wednesday","Campaign",0,0,0,0,0.00149013818136266,"Oregon","Baseline"
2018-04-04,247551,"Wednesday","Prevention",7,0.00282770015067602,0.00336388734341282,0.00113688943296478,0.00582605569544465,"Oregon","Baseline"
2018-04-05,239430,"Thursday","Campaign",0,0,0,0,0.0015406803813724,"Oregon","Baseline"
2018-04-05,239430,"Thursday","Prevention",3,0.00125297581756672,0.00298992690005255,0.000258394481701088,0.00366168294674797,"Oregon","Baseline"
2018-04-06,241882,"Friday","Campaign",0,0,0,0,0.00152506235486167,"Oregon","Baseline"
2018-04-06,241882,"Friday","Prevention",4,0.00165369891103927,0.00344542217630394,0.000450579074495879,0.00423407138095747,"Oregon","Baseline"
2018-04-07,217338,"Saturday","Campaign",0,0,0,0,0.00169728632296338,"Oregon","Baseline"
2018-04-07,217338,"Saturday","Prevention",7,0.00322078973764367,0.00321724002920507,0.00129493400951042,0.0066359445086393,"Oregon","Baseline"
2018-04-08,209889,"Sunday","Campaign",0,0,0,0,0.0017575228037535,"Oregon","Baseline"
2018-04-08,209889,"Sunday","Prevention",4,0.00190576923993158,0.00391136913000111,0.000519260339002271,0.00487945361419076,"Oregon","Baseline"
2018-04-09,223518,"Monday","Campaign",0,0,0,0,0.0016503588141253,"Oregon","Baseline"
2018-04-09,223518,"Monday","Prevention",6,0.00268434756932328,0.00307072257940697,0.000985114413975184,0.00584260229229157,"Oregon","Baseline"
2018-04-10,252734,"Tuesday","Campaign",0,0,0,0,0.00145957905663365,"Oregon","Baseline"
2018-04-10,252734,"Tuesday","Prevention",5,0.00197836460468318,0.00413016349954924,0.00064237262227541,0.00461678212934494,"Oregon","Baseline"
2018-04-11,252157,"Wednesday","Campaign",0,0,0,0,0.00146291892407918,"Oregon","Baseline"
2018-04-11,252157,"Wednesday","Prevention",6,0.0023794699334145,0.00336388734341282,0.000873228373778998,0.00517903179942602,"Oregon","Baseline"
2018-04-12,255653,"Thursday","Campaign",0,0,0,0,0.00144291396555938,"Oregon","Baseline"
2018-04-12,255653,"Thursday","Prevention",29,0.0113435007607969,0.00298992690005255,0.00759704794859795,0.01629075626211,"Oregon","Baseline"
2018-04-13,251046,"Friday","Campaign",0,0,0,0,0.00146939300047773,"Oregon","Baseline"
2018-04-13,251046,"Friday","Prevention",10,0.00398333373166671,0.00344542217630394,0.00191017935129251,0.00732537014139663,"Oregon","Baseline"
2018-04-14,233409,"Saturday","Campaign",0,0,0,0,0.00158042333589591,"Oregon","Baseline"
2018-04-14,233409,"Saturday","Prevention",8,0.00342745995227262,0.00321724002920507,0.00147974517436748,0.00675335016173797,"Oregon","Baseline"
2018-04-15,218683,"Sunday","Campaign",0,0,0,0,0.00168684732747594,"Oregon","Baseline"
2018-04-15,218683,"Sunday","Prevention",4,0.00182913166547011,0.00391136913000111,0.000498378993107043,0.00468323670332199,"Oregon","Baseline"
2018-04-16,234241,"Monday","Campaign",0,0,0,0,0.00157480987855186,"Oregon","Baseline"
2018-04-16,234241,"Monday","Prevention",7,0.00298837522039267,0.00307072257940697,0.00120148999926544,0.00615709753982462,"Oregon","Baseline"
2018-04-17,246484,"Tuesday","Campaign",0,0,0,0,0.00149658876453131,"Oregon","Baseline"
2018-04-17,246484,"Tuesday","Prevention",4,0.00162282338813067,0.00413016349954924,0.000442166467854145,0.00415501980037807,"Oregon","Baseline"
2018-04-18,264226,"Wednesday","Campaign",0,0,0,0,0.00139609792521147,"Oregon","Baseline"
2018-04-18,264226,"Wednesday","Prevention",4,0.00151385556304073,0.00336388734341282,0.00041247618064151,0.00387602571727515,"Oregon","Baseline"
2018-04-19,247316,"Thursday","Campaign",0,0,0,0,0.00149155410213215,"Oregon","Baseline"
2018-04-19,247316,"Thursday","Prevention",25,0.0101085251257501,0.00298992690005255,0.00654180792226219,0.0149218180194941,"Oregon","Baseline"
2018-04-20,249779,"Friday","Campaign",0,0,0,0,0.00147684641803548,"Oregon","Baseline"
2018-04-20,249779,"Friday","Prevention",11,0.00440389304144864,0.00344542217630394,0.00219842738158119,0.00787964418584909,"Oregon","Baseline"
2018-04-21,216561,"Saturday","Campaign",0,0,0,0,0.0017033759708727,"Oregon","Baseline"
2018-04-21,216561,"Saturday","Prevention",21,0.00969703686259299,0.00321724002920507,0.00600271567982501,0.0148225710087777,"Oregon","Baseline"
2018-04-22,211131,"Sunday","Campaign",0,0,0,0,0.00174718408393971,"Oregon","Baseline"
2018-04-22,211131,"Sunday","Prevention",56,0.0265238169667173,0.00391136913000111,0.0200364088593825,0.0344420186141087,"Oregon","Baseline"
2018-04-23,226621,"Monday","Campaign",0,0,0,0,0.00162776151854964,"Oregon","Baseline"
2018-04-23,226621,"Monday","Prevention",56,0.0247108608646154,0.00307072257940697,0.0186668417418833,0.0320879244021528,"Oregon","Baseline"
2018-04-24,239595,"Tuesday","Campaign",0,0,0,0,0.00153961938132664,"Oregon","Baseline"
2018-04-24,239595,"Tuesday","Prevention",42,0.0175295811682214,0.00413016349954924,0.0126340631405757,0.0236941708548375,"Oregon","Baseline"
