"date","ntweets"
2019-06-02,"261"
2019-06-03,"353"
2019-06-04,"265"
2019-06-05,"181"
2019-06-06,"281"
2019-06-07,"214"
2019-06-08,"188"
2019-06-09,"136"
2019-06-10,"233"
2019-06-11,"300"
2019-06-12,"256"
2019-06-13,"283"
2019-06-14,"169"
2019-06-15,"162"
2019-06-16,"124"
2019-06-17,"182"
2019-06-18,"193"
2019-06-19,"145"
2019-06-20,"229"
2019-06-21,"156"
2019-06-22,"122"
2019-06-23,"147"
2019-06-24,"364"
2019-06-25,"376"
2019-06-26,"266"
2019-06-27,"166"
2019-06-28,"209"
2019-06-29,"198"
2019-06-30,"157"
2019-07-01,"153"
2019-07-02,"202"
2019-07-03,"238"
2019-07-04,"161"
2019-07-05,"224"
2019-07-06,"186"
2019-07-07,"158"
2019-07-08,"133"
2019-07-09,"134"
2019-07-10,"189"
2019-07-11,"172"
2019-07-12,"199"
2019-07-13,"118"
2019-07-14,"155"
2019-07-15,"183"
2019-07-16,"149"
2019-07-17,"158"
2019-07-18,"143"
2019-07-19,"130"
2019-07-20,"206"
2019-07-21,"169"
2019-07-22,"281"
2019-07-23,"228"
2019-07-24,"606"
2019-07-25,"236"
2019-07-26,"252"
2019-07-27,"255"
2019-07-28,"279"
2019-07-29,"208"
2019-07-30,"175"
2019-07-31,"199"
2019-08-01,"197"
2019-08-02,"179"
2019-08-03,"443"
2019-08-04,"675"
2019-08-05,"298"
2019-08-06,"178"
2019-08-07,"197"
2019-08-08,"210"
2019-08-09,"5600"
2019-08-10,"3453"
2019-08-11,"1244"
2019-08-12,"667"
2019-08-13,"349"
2019-08-14,"626"
2019-08-15,"385"
2019-08-16,"358"
2019-08-17,"247"
2019-08-18,"302"
2019-08-19,"258"
2019-08-20,"230"
2019-08-21,"256"
2019-08-22,"208"
2019-08-23,"198"
2019-08-24,"156"
2019-08-25,"162"
2019-08-26,"282"
2019-08-27,"199"
2019-08-28,"359"
2019-08-29,"255"
2019-08-30,"119"
2019-08-31,"214"
2019-09-01,"233"
2019-09-02,"382"
2019-09-03,"343"
2019-09-04,"296"
2019-09-05,"238"
2019-09-06,"172"
2019-09-07,"265"
2019-09-08,"383"
2019-09-09,"753"
2019-09-10,"921"
2019-09-11,"430"
2019-09-12,"332"
